Date,City,Product,Revenue,Orders,PaymentMode,Seller
Jan,Mumbai,Laptop,75000,8,Online,Raj Kumar
Jan,Delhi,Mobile,45000,12,Online,Priya Singh
Jan,Bangalore,Tablet,32000,6,Offline,Amit Verma
Jan,Chennai,Headphones,18000,5,Online,Neha Gupta
Jan,Hyderabad,Monitor,65000,7,Offline,Vikram Sharma
Feb,Mumbai,Mobile,52000,10,Online,Raj Kumar
Feb,Delhi,Laptop,88000,9,Offline,Priya Singh
Feb,Bangalore,Headphones,28000,8,Online,Amit Verma
Feb,Chennai,Tablet,41000,7,Online,Neha Gupta
Feb,Hyderabad,Laptop,72000,6,Offline,Vikram Sharma
Mar,Mumbai,Tablet,35000,5,Online,Raj Kumar
Mar,Delhi,Monitor,58000,7,Online,Priya Singh
Mar,Bangalore,Mobile,61000,11,Offline,Amit Verma
Mar,Chennai,Laptop,79000,8,Online,Neha Gupta
Mar,Hyderabad,Headphones,22000,4,Online,Vikram Sharma
Apr,Mumbai,Laptop,82000,9,Offline,Raj Kumar
Apr,Delhi,Tablet,39000,6,Online,Priya Singh
Apr,Bangalore,Monitor,71000,8,Online,Amit Verma
Apr,Chennai,Mobile,48000,10,Offline,Neha Gupta
Apr,Hyderabad,Laptop,76000,7,Online,Vikram Sharma
May,Mumbai,Monitor,68000,7,Online,Raj Kumar
May,Delhi,Headphones,25000,5,Offline,Priya Singh
May,Bangalore,Laptop,89000,10,Online,Amit Verma
May,Chennai,Tablet,42000,7,Online,Neha Gupta
May,Hyderabad,Mobile,55000,9,Offline,Vikram Sharma
Jun,Mumbai,Mobile,51000,9,Online,Raj Kumar
Jun,Delhi,Laptop,85000,8,Online,Priya Singh
Jun,Bangalore,Headphones,31000,6,Offline,Amit Verma
Jun,Chennai,Monitor,62000,8,Online,Neha Gupta
Jun,Hyderabad,Tablet,38000,6,Online,Vikram Sharma
Jul,Mumbai,Headphones,27000,6,Offline,Raj Kumar
Jul,Delhi,Mobile,56000,11,Online,Priya Singh
Jul,Bangalore,Laptop,92000,10,Online,Amit Verma
Jul,Chennai,Tablet,44000,7,Offline,Neha Gupta
Jul,Hyderabad,Monitor,73000,8,Online,Vikram Sharma
Aug,Mumbai,Laptop,79000,9,Online,Raj Kumar
Aug,Delhi,Tablet,36000,6,Offline,Priya Singh
Aug,Bangalore,Monitor,69000,7,Online,Amit Verma
Aug,Chennai,Mobile,49000,10,Online,Neha Gupta
Aug,Hyderabad,Headphones,29000,5,Offline,Vikram Sharma
Sep,Mumbai,Tablet,40000,6,Online,Raj Kumar
Sep,Delhi,Monitor,61000,7,Online,Priya Singh
Sep,Bangalore,Mobile,58000,10,Offline,Amit Verma
Sep,Chennai,Laptop,81000,9,Online,Neha Gupta
Sep,Hyderabad,Tablet,43000,7,Online,Vikram Sharma
Oct,Mumbai,Monitor,70000,8,Offline,Raj Kumar
Oct,Delhi,Headphones,26000,5,Online,Priya Singh
Oct,Bangalore,Laptop,87000,9,Online,Amit Verma
Oct,Chennai,Tablet,45000,7,Offline,Neha Gupta
Oct,Hyderabad,Mobile,54000,9,Online,Vikram Sharma
Nov,Mumbai,Mobile,50000,8,Online,Raj Kumar
Nov,Delhi,Laptop,84000,8,Online,Priya Singh
Nov,Bangalore,Headphones,30000,6,Offline,Amit Verma
Nov,Chennai,Monitor,63000,8,Online,Neha Gupta
Nov,Hyderabad,Laptop,75000,7,Online,Vikram Sharma
Dec,Mumbai,Laptop,83000,9,Offline,Raj Kumar
Dec,Delhi,Mobile,57000,11,Online,Priya Singh
Dec,Bangalore,Tablet,46000,7,Online,Amit Verma
Dec,Chennai,Headphones,24000,5,Online,Neha Gupta
Dec,Hyderabad,Monitor,74000,8,Offline,Vikram Sharma
